Date;Coffee Type;Coffee Number;Caffeine Amount (mg);Course Load (min);Exam Number (that week)
23.09.2024;latte;1;120;50;0
24.09.2024;latte;1;120;250;0
25.09.2024;latte-2;2;240;150;0
26.09.2024;latte;1;120;400;0
27.09.2024;latte;1;120;250;0
1.10.2024;latte-3;3;360;0;0
2.10.2024;latte-2;2;120;0;0
3.10.2024;latte;1;120;50;0
4.10.2024;;0;0;250;0
5.10.2024;latte-2;2;240;150;0
6.10.2024;;0;0;400;0
7.10.2024;latte;1;120;250;0
8.10.2024;;0;0;0;0
9.10.2024;latte;1;120;0;0
10.10.2024;latte;1;120;50;0
11.10.2024;latte-2;2;240;250;0
12.10.2024;latte-2;2;240;150;0
13.10.2024;latte;1;120;400;0
14.10.2024;latte-2;2;240;250;0
15.10.2024;latte;1;120;0;0
16.10.2024;latte-3;2;360;0;0
17.10.2024;latte;1;120;50;0
18.10.2024;latte;1;120;250;0
19.10.2024;latte;1;120;150;0
20.10.2024;latte;1;120;400;0
21.10.2024;latte;1;120;250;0
22.10.2024;latte-2;2;240;0;0
23.10.2024;latte;1;120;0;0
24.10.2024;;0;0;50;0
25.10.2024;;0;0;250;0
26.10.2024;;0;0;150;0
27.10.2024;;0;0;400;0
28.10.2024;;0;0;250;0
29.10.2024;;0;0;0;0
30.10.2024;latte-2;2;240;0;0
31.10.2024;;0;0;50;0
1.11.2024;;0;0;250;0
2.11.2024;latte;1;120;150;1
3.11.2024;latte;1;120;400;1
4.11.2024;latte-2;2;240;250;1
5.11.2024;latte;1;120;0;1
6.11.2024;latte;1;120;0;1
7.11.2024;latte;1;120;50;1
8.11.2024;latte;1;120;250;1
9.11.2024;;0;0;150;2
10.11.2024;latte-2;2;240;400;2
11.11.2024;latte;1;120;250;2
12.11.2024;latte;1;120;0;2
13.11.2024;latte;1;120;0;2
14.11.2024;latte;1;120;50;2
15.11.2024;latte-2;2;240;250;2
16.11.2024;latte;1;120;150;2
17.11.2024;latte;1;120;400;2
18.11.2024;americano-2 latte-2 ;4;540;250;2
19.11.2024;latte-2;2;240;0;2
20.11.2024;latte;1;120;0;2
21.11.2024;latte;1;120;50;2
22.11.2024;;0;0;250;2
23.11.2024;latte;1;120;150;0
24.11.2024;latte;1;120;400;0
25.11.2024;latte;1;120;250;0
26.11.2024;latte-2;2;240;0;0
27.11.2024;latte;1;120;0;0
28.11.2024;latte;1;120;50;0
29.11.2024;latte;1;120;250;0
30.11.2024;;0;0;150;0
1.12.2024;;0;0;400;0
2.12.2024;latte;1;120;250;0
3.12.2024;;0;0;0;0
4.12.2024;latte-2;2;240;0;0
5.12.2024;;0;;50;0
6.12.2024;latte;1;120;250;1
7.12.2024;;0;0;150;1
8.12.2024;latte;1;120;400;1
9.12.2024;latte;1;120;250;1
10.12.2024;latte;1;120;0;1
11.12.2024;latte-2;2;240;0;1
12.12.2024;latte;1;120;50;1
13.12.2024;;0;0;250;2
14.12.2024;latte-2;2;240;150;2
15.12.2024;;0;0;400;2
16.12.2024;latte;1;120;250;2
17.12.2024;latte;1;120;0;2
18.12.2024;latte;1;120;0;2
19.12.2024;latte-2;2;240;50;2
20.12.2024;;0;0;250;0
21.12.2024;latte;1;120;150;0
22.12.2024;latte;1;120;400;0
23.12.2024;latte-3;3;360;250;0
24.12.2024;latte;1;120;0;0
25.12.2024;latte-2;2;240;0;0
26.12.2024;latte;1;120;50;0
27.12.2024;;0;0;250;0
28.12.2024;latte;1;120;150;0
29.12.2024;;0;0;400;0
30.12.2024;;0;0;250;0
31.12.2024;;0;0;0;0
1.01.2025;;0;0;0;4
2.01.2025;latte;1;120;50;4
3.01.2025;latte;1;120;250;4
4.01.2025;latte;1;120;150;4
5.01.2025;latte-2;2;240;400;4
6.01.2025;latte-2;2;240;250;4
7.01.2025;;0;0;0;4
8.01.2025;latte;1;120;0;0
9.01.2025;latte-1 americano-1;2;270;50;0
